"","p.value","HR","Low 95%CI","High 95%CI"
"LST1",0.725113026870626,0.97876784575416,0.868419202657309,1.10313831494152
"LTA",0.0181556386400736,0.771791520752579,0.622537569845271,0.956829242697156
"LY86",0.713763549568847,1.02258864874556,0.907539573014935,1.15222253181687
"LY96",0.677931532588953,1.02531793865721,0.911194743434939,1.15373456981244
"LYL1",0.164538129135971,1.14958304770006,0.944438751120261,1.39928733545906
"LYN",0.790589675252867,0.979884365156311,0.843406634644821,1.13844654480592
"LYZ",0.576168124504532,0.979953986874708,0.912789351123809,1.05206071390877
"MAF",0.121889915758352,1.10599130480114,0.973456914222416,1.25657001190733
"MAFB",0.283980430444165,1.0788505689507,0.938998177276598,1.23953227843424
"MAN1A1",0.52076442990889,1.03387008448633,0.933929906360204,1.14450489733382
"MAN2A1",0.0505460991159013,1.21923562715264,0.999528640659051,1.48723653735237
"MARCO",0.691137278409186,1.01950782618411,0.926828595321462,1.12145461728028
"MCTP1",0.103412950706506,1.25892256172438,0.954219602923886,1.6609237659364
"MDFIC",0.689507071840549,1.02634313904723,0.903429006537413,1.16598009522256
"MEF2C",0.151922430294715,1.1523808484989,0.949151867810466,1.3991244868437
"MFNG",0.142984554043285,1.12116259158667,0.962073868916993,1.30655825647603
"MFSD1",0.765484679623863,1.03058591166717,0.845495323628124,1.25619538233424
"MICAL1",0.493171171490946,1.05602364692157,0.903575042221467,1.23419294551984
"MILR1",0.155104239496702,1.09346336928687,0.966739955778758,1.23679809945273
"MKNK1",0.323445704905597,1.1165598447796,0.897093295161222,1.38971709375019
"MMP25",0.476789143669419,0.910967627109497,0.704599405511093,1.17777848114923
"MMP9",0.539267259353439,0.977348012540901,0.908408296702286,1.05151960972314
"MNDA",0.592862533834744,1.03210357957081,0.919219723356597,1.15885002453286
"MPP1",0.323357960086851,1.09041777543047,0.918302126411047,1.29479273844403
"MRC1",0.0367423399746829,1.14205855877932,1.00821558725413,1.29366949705007
"MS4A4A",0.342446382786693,1.05917925566577,0.940629921132365,1.19266958282825
"MS4A6A",0.396332474061465,1.04741924475393,0.941080441824889,1.16577396099476
"MSN",0.640168414585421,0.964420948997133,0.82851491995683,1.12262041933173
"MSR1",0.107782602674733,1.10679835057662,0.978052505347815,1.252491642464
"MYO1F",0.299058654179477,1.08321688869607,0.931523931904983,1.25961211276327
"MYO5A",0.0642805504037458,1.20195461982732,0.989149485000856,1.46054254693667
"NAAA",0.0301990143730706,1.18126388262312,1.01607613334354,1.37330689561436
"NAGA",0.497026354415009,1.08303686540414,0.86033954573935,1.36337897941959
"NCF1",0.640920367772234,0.96454729071693,0.828795994459827,1.1225337504626
"NCF2",0.688389059067248,1.02802503214622,0.898130695027178,1.17670565383276
"NCF4",0.613835778249412,1.03548628466339,0.90431853491697,1.18567938654982
"NCKAP1L",0.551166668334782,1.04118720999153,0.911771462425406,1.18897207351303
"NFKB1",0.0418828480137024,1.20901032110979,1.0069943283456,1.45155331604643
"NKG7",0.316072068505398,0.956778310129258,0.877603454368303,1.04309609331782
"NLRP3",0.10764718791551,1.17700228421441,0.96505952972303,1.43549111156233
"NOD2",0.739426596351665,0.967050395820513,0.793790835966374,1.17812706532206
"NPL",0.70111332395653,1.03256984586453,0.876677636296519,1.21618305571568
"NRP1",0.36749196899305,1.06806995584105,0.925547457717862,1.23253910002965
"OGFRL1",0.775572879385982,1.02858843994538,0.847388448167051,1.2485350503394
"OLR1",0.403572295035255,1.04517625018826,0.942237958306278,1.15936041880676
"OSM",0.112888397248285,1.09822949769931,0.978101915450373,1.23311079404391
"OSMR",0.0938233017219755,1.1106926977296,0.982338623681561,1.2558177384561
"OSTM1",0.306889158590669,1.11174532793602,0.907314431257518,1.36223742465392
