"","TRP","WGCNA","Corr","P.value"
"10796","TRPV2","IL17RA",0.605986522984714,0
"10858","TRPV2","IL18BP",0.615787238424478,0
"10889","TRPV2","IL1B",0.580225681670942,0
"10951","TRPV2","IL21R",0.762851340520711,0
"11013","TRPV2","IL2RA",0.750003867691446,0
"11044","TRPV2","IL2RB",0.731635672999276,0
"11050","TRPM2","IL2RB",0.508181144938571,0
"11075","TRPV2","IL2RG",0.670417564392372,0
"11137","TRPV2","IL4R",0.647626496675972,0
"11230","TRPV2","IL7R",0.707288351902067,0
"11292","TRPV2","INPP5D",0.720728621007328,0
"11298","TRPM2","INPP5D",0.500291537469037,0
"11323","TRPV2","IRAK3",0.573116193495374,0
"11416","TRPV2","IRF4",0.576449898448332,0
"11478","TRPV2","IRF8",0.802728842745142,0
"11484","TRPM2","IRF8",0.545957313004817,0
"11509","TRPV2","ITGA4",0.811432527362084,0
"11515","TRPM2","ITGA4",0.536250006442633,0
"11527","PKD2","ITGA4",0.511017172201828,0
"11540","TRPV2","ITGAL",0.800540435201947,0
"11546","TRPM2","ITGAL",0.56738404700565,0
"11571","TRPV2","ITGAM",0.846456531809517,0
"11577","TRPM2","ITGAM",0.607140443502328,0
"11633","TRPV2","ITGAX",0.789640842192577,0
"11639","TRPM2","ITGAX",0.576879954958242,0
"11664","TRPV2","ITGB2",0.825620008167969,0
"11670","TRPM2","ITGB2",0.577421301897557,0
"11695","TRPV2","ITGB7",0.616891910607641,0
"11701","TRPM2","ITGB7",0.586820380657995,0
"11726","TRPV2","ITK",0.70093322948289,0
"11788","TRPV2","JAK2",0.567252104047547,0
"11819","TRPV2","JAK3",0.50350522574953,0
"11881","TRPV2","KCNA3",0.661266959773722,0
"11912","TRPV2","KCNAB2",0.726649739524587,0
"11918","TRPM2","KCNAB2",0.562196042075148,0
"12005","TRPV2","KCNMB1",0.666938179201287,0
"12067","TRPV2","KIAA0513",0.660252466594136,0
"12069","TRPV4","KIAA0513",0.515584543901056,0
"12098","TRPV2","KIAA0930",0.606100861564264,0
"12104","TRPM2","KIAA0930",0.507119373290106,0
"12146","PKD1","KIF21B",0.587477784727103,0
"12253","TRPV2","KLRB1",0.552494025543976,0
"12284","TRPV2","KYNU",0.530401610053612,0
"12315","TRPV2","LAG3",0.548710818253248,0
"12346","TRPV2","LAIR1",0.836127161101933,0
"12352","TRPM2","LAIR1",0.571856247195762,0
"12377","TRPV2","LAPTM5",0.829495469017991,0
"12383","TRPM2","LAPTM5",0.570227599274345,0
"12408","TRPV2","LAT2",0.749530936523305,0
"12414","TRPM2","LAT2",0.599081557096993,0
"12439","TRPV2","LAX1",0.55387217454136,0
"12470","TRPV2","LCK",0.625717628150808,0
"12501","TRPV2","LCP1",0.580584557888878,0
"12532","TRPV2","LCP2",0.825625267817966,0
"12538","TRPM2","LCP2",0.571212968506693,0
"12687","TRPV2","LGMN",0.567998581039417,0
"12718","TRPV2","LHFPL2",0.765339025317722,0
"12724","TRPM2","LHFPL2",0.515794455613588,0
"12736","PKD2","LHFPL2",0.507914955082585,0
"12749","TRPV2","LILRA1",0.695563618544923,0
"12755","TRPM2","LILRA1",0.541221791417875,0
"12780","TRPV2","LILRA2",0.650354002423613,0
"12786","TRPM2","LILRA2",0.538747805118081,0
"12811","TRPV2","LILRA5",0.604861726431033,0
"12842","TRPV2","LILRB1",0.804956214626987,0
"12848","TRPM2","LILRB1",0.562271827982768,0
"12873","TRPV2","LILRB2",0.832076741399521,0
"12879","TRPM2","LILRB2",0.509535108312841,0
"12904","TRPV2","LILRB3",0.764315396105041,0
"12935","TRPV2","LILRB4",0.811840393075715,0
"12941","TRPM2","LILRB4",0.550477018626914,0
"12966","TRPV2","LILRB5",0.589849598656191,0
"13028","TRPV2","LIPA",0.645684357686704,0
"13152","TRPV2","LPAR6",0.52585598951439,0
"13183","TRPV2","LPXN",0.784018911374371,0
"13189","TRPM2","LPXN",0.536599745056847,0
"13276","TRPV2","LSP1",0.760120512487815,0
"13282","TRPM2","LSP1",0.510978831415314,0
"13307","TRPV2","LST1",0.604388060091419,0
"13338","TRPV2","LTA",0.636652658527412,0
"13400","TRPV2","LY86",0.606179895501555,0
"13431","TRPV2","LY96",0.64344825092053,0
"13462","TRPV2","LYL1",0.726555316388882,0
"13468","TRPM2","LYL1",0.530769798326372,0
"13493","TRPV2","LYN",0.592793828629136,0
"13499","TRPM2","LYN",0.533455928763058,0
"13524","TRPV2","LYZ",0.77547527889606,0
"13555","TRPV2","MAF",0.553714566980829,0
"13573","PKD2","MAF",0.511457561925721,0
"13586","TRPV2","MAFB",0.581023587202249,0
"13611","TRPC3","MAN1A1",0.516708876226248,0
"13617","TRPV2","MAN1A1",0.576430528491011,0
"13679","TRPV2","MAN2A1",0.51619761333242,0
"13803","TRPV2","MARCO",0.565106552565466,0
"13865","TRPV2","MCTP1",0.625739364501683,0
"13896","TRPV2","MDFIC",0.5203379930786,0
"13927","TRPV2","MEF2C",0.697714554687156,0
"13958","TRPV2","MFNG",0.55099816195726,0
"13989","TRPV2","MFSD1",0.631199325127527,0
"14051","TRPV2","MICAL1",0.649719734793575,0
"14068","PKD1","MICAL1",0.506132631541373,0
"14069","PKD2","MICAL1",0.516518789704524,0
"14113","TRPV2","MILR1",0.621140337482551,0
"14181","TRPM2","MKNK1",0.501265653539941,0
"14237","TRPV2","MMP25",0.576291330383092,0
"14254","PKD1","MMP25",0.523118117892321,0
"14268","TRPV2","MMP9",0.667145376848529,0
"14299","TRPV2","MNDA",0.774064879524966,0
"14305","TRPM2","MNDA",0.512243572024356,0
"14330","TRPV2","MPP1",0.752140363714803,0
"14336","TRPM2","MPP1",0.520086277921839,0
"14392","TRPV2","MRC1",0.75461085650784,0
"14423","TRPV2","MS4A4A",0.796589574924358,0
"14454","TRPV2","MS4A6A",0.794763558944652,0
"14460","TRPM2","MS4A6A",0.521659104574341,0
"14485","TRPV2","MSN",0.604409120141914,0
"14503","PKD2","MSN",0.526964992704877,0
"14516","TRPV2","MSR1",0.737459420578461,0
"14522","TRPM2","MSR1",0.535774832736633,0
"14578","TRPV2","MYO1F",0.810509597655047,0
"14584","TRPM2","MYO1F",0.569189170565454,0
"14609","TRPV2","MYO5A",0.651436452238353,0
"14615","TRPM2","MYO5A",0.551525069648997,0
"14620","TRPM7","MYO5A",0.569442497183398,0
"14627","PKD2","MYO5A",0.50799451792793,0
"14702","TRPV2","NAAA",0.522813980661435,0
"14733","TRPV2","NAGA",0.645320923231999,0
"14826","TRPV2","NCF1",0.756350159642333,0
"14832","TRPM2","NCF1",0.528945330685743,0
"14857","TRPV2","NCF2",0.831026052093397,0
"14863","TRPM2","NCF2",0.517268523329343,0
"14888","TRPV2","NCF4",0.826097173732221,0
"14894","TRPM2","NCF4",0.574401617710056,0
"14950","TRPV2","NCKAP1L",0.884158552696548,0
"14956","TRPM2","NCKAP1L",0.610873315163477,0
"15074","TRPV2","NFKB1",0.587153344332157,0
"15198","TRPV2","NKG7",0.590935467170207,0
"15229","TRPV2","NLRP3",0.7841537637619,0
"15235","TRPM2","NLRP3",0.562201672454802,0
"15291","TRPV2","NOD2",0.615126749137653,0
"15297","TRPM2","NOD2",0.567555878189464,0
"15322","TRPV2","NPL",0.790505909415097,0
"15328","TRPM2","NPL",0.543413001768059,0
"15415","TRPV2","NRP1",0.599202585517117,0
"15508","TRPV2","OGFRL1",0.534450198598996,0
"15539","TRPV2","OLR1",0.65773221196637,0
"15570","TRPV2","OSM",0.613273790964106,0
"15601","TRPV2","OSMR",0.503216252043619,0
"15663","TRPV2","OSTM1",0.565637362028727,0
"15681","PKD2","OSTM1",0.52897702654527,0
"15725","TRPV2","P2RX7",0.678658090857508,0
"15756","TRPV2","P2RY10",0.715566269571986,0
"15787","TRPV2","P2RY13",0.651297320432735,0
"15911","TRPV2","PAPSS2",0.645777336245054,0
"15929","PKD2","PAPSS2",0.548126132952506,0
"15942","TRPV2","PARM1",0.528365438231078,0
"15973","TRPV2","PDCD1",0.550084554647528,0
"16004","TRPV2","PDCD1LG2",0.78173964898845,0
"16066","TRPV2","PDE4B",0.679381983734713,0
"16128","TRPV2","PECAM1",0.80236470584801,0
"16146","PKD2","PECAM1",0.56299902047202,0
"16252","TRPV2","PIEZO1",0.539831865256668,0
"16283","TRPV2","PIK3CD",0.605743705585697,0
"16314","TRPV2","PIK3CG",0.813029291597545,0
"16320","TRPM2","PIK3CG",0.56863087758196,0
"16376","TRPV2","PIK3R5",0.857715543169119,0
"16382","TRPM2","PIK3R5",0.603865570220431,0
"16407","TRPV2","PILRA",0.58974189909185,0
"16469","TRPV2","PIP4K2A",0.531567449995639,0
"16500","TRPV2","PLA2G2D",0.56839642184441,0
"16531","TRPV2","PLA2G4C",0.594193174651808,0
"16624","TRPV2","PLAUR",0.646697644020403,0
"16655","TRPV2","PLCB2",0.61924710166517,0
"16661","TRPM2","PLCB2",0.542955303372961,0
"16686","TRPV2","PLCL2",0.502928522107052,0
"16717","TRPV2","PLEK",0.858213515166565,0
"16723","TRPM2","PLEK",0.561857900053827,0
"16810","TRPV2","PLEKHO2",0.78729651115865,0
"16816","TRPM2","PLEKHO2",0.585401588737929,0
"16841","TRPV2","PLIN3",0.608170500275861,0
"16872","TRPV2","PLXNC1",0.692437064251935,0
"16890","PKD2","PLXNC1",0.622641696291544,0
"16903","TRPV2","PLXND1",0.60536142302503,0
"16905","TRPV4","PLXND1",0.509165882796171,0
"16920","PKD1","PLXND1",0.561509437151367,0
"16921","PKD2","PLXND1",0.529416609535767,0
"17120","TRPV2","PRDM1",0.732752660432378,0
"17138","PKD2","PRDM1",0.554854182470417,0
"17151","TRPV2","PRF1",0.665125944080896,0
"17213","TRPV2","PRKCH",0.541041238161854,0
"17244","TRPV2","PSAP",0.675331189906899,0
"17250","TRPM2","PSAP",0.501571678993244,0
"17368","TRPV2","PSTPIP1",0.604365479547398,0
